Altitude,ax,ay,az
1527.58-1.83,-0.20,"9.09
"
1527.97-1.81,-0.24,"9.07
"
1528.06-1.91,-0.24,"9.04
"
1527.49-1.95,-0.16,"9.06
"
1527.77-1.86,-0.24,"9.08
"
1528.25-1.86,-0.17,"9.01
"
1528.06-1.87,-0.17,"8.99
"
1527.97-1.93,-0.25,"9.03
"
1527.87-1.86,-0.26,"9.06
"
1528.06-1.86,-0.21,"9.05
"
1527.77-1.85,-0.24,"9.09
"
1528.06-1.88,-0.16,"9.02
"
1528.35-1.82,-0.21,"8.94
"
1527.97-1.83,-0.24,"9.00
"
1528.16-1.90,-0.20,"9.03
"
1528.16-1.90,-0.18,"9.11
"
1527.97-1.87,-0.21,"8.97
"
1528.25-1.94,-0.23,"9.02
"
1528.25-1.82,-0.30,"8.96
"
1528.44-1.86,-0.24,"9.06
"
1528.16-1.86,-0.22,"9.00
"
1527.68-1.82,-0.22,"9.11
"
1527.97-1.84,-0.22,"9.05
"
1528.25-1.92,-0.31,"9.00
"
1527.87-1.88,-0.21,"9.06
"
1528.06-1.90,-0.20,"9.10
"
1528.06-1.86,-0.22,"9.06
"
1527.68-1.86,-0.14,"8.98
"
1527.87-1.96,-0.23,"9.00
"
1527.68-1.92,-0.23,"9.06
"
1528.16-1.81,-0.20,"9.00
"
1528.35-1.81,-0.20,"9.06
"
1527.77-1.89,-0.22,"8.99
"
1528.25-1.96,-0.25,"9.06
"
1528.16-1.96,-0.24,"9.05
"
1527.87-1.87,-0.25,"9.00
"
1527.49-1.82,-0.23,"9.05
"
1527.58-1.84,-0.22,"8.95
"
1527.77-1.92,-0.22,"8.95
"
1527.58-1.91,-0.27,"8.94
"
1528.16-1.83,-0.23,"8.99
"
1527.87-1.85,-0.18,"9.15
"
1527.77-1.89,-0.22,"8.99
"
1527.97-1.88,-0.20,"9.00
"
1528.35-1.92,-0.16,"9.05
"
1528.44-1.94,-0.18,"9.01
"
1527.68-1.80,-0.20,"9.07
"
1528.16-1.87,-0.24,"9.02
"
1528.35-1.91,-0.19,"8.94
"
